Glycolysis_v1 (BR47759),Glucose (BL223) + ATP (BL4),-->,Glucose_6-phosphate (BL183274) + ADP (BL13)
Glycolysis_v2 (BR240),Glucose_6-phosphate (BL183274),<=>,Fructose-6-phosphate (BL453)
Glycolysis_v3 (BR47724),Fructose-6-phosphate (BL453) + ATP (BL4),-->,Fructose_1-6-bisphosphate (BL166168) + ADP (BL13)
Glycolysis_v4 (BR344),Fructose_1-6-bisphosphate (BL166168),<=>,Glycerone_phosphate (BL155830) + Glyceraldehyde_3-phosphate (BL190194)
Glycolysis_v5 (BR219),Glycerone_phosphate (BL155830),<=>,Glyceraldehyde_3-phosphate (BL190194)
Glycolysis_v6 (BR29425),Glyceraldehyde_3-phosphate (BL190194) + NADP+ (BL10) + H2O (BL1),-->,3-Phospho-D-glycerate (BL201) + NADPH (BL5) + 2 H+ (BL120685)
Glycolysis_v7 (BR17),3-Phospho-D-glycerate (BL201),<=>,2-Phospho-D-glycerate (BL188223)
Glycolysis_v8 (BR3384),2-Phospho-D-glycerate (BL188223),<=>,Phosphoenolpyruvate (BL139687) + H2O (BL1)
Glycolysis_v9 (BR47778),Phosphoenolpyruvate (BL139687) + ADP (BL13),-->,Pyruvate (BL178683) + ATP (BL4)
PPP_ox_v10 (BR50596),Glucose_6-phosphate (BL183274) + NADP+ (BL10),-->,6-Phospho_D-glucono-1-5-lactone (BL176921) + NADPH (BL5) + H+ (BL120685)
PPP_ox_v11 (BR10654),6-Phospho_D-glucono-1-5-lactone (BL176921) + H2O (BL1),-->,D-gluconate_6-phosphate (BL185745)
PPP_ox_v12 (BR50378),D-gluconate_6-phosphate (BL185745) + NAD+ (BL189124),-->,D-Ribulose_5-phosphate (BL189448) + CO2 (BL184514) + NADH (BL8) + H+ (BL120685)
PPP_v13 (BR184),D-Ribulose_5-phosphate (BL189448),<=>,D-Xylulose_5-phosphate (BL182224)
PPP_v14 (BR237),D-Ribulose_5-phosphate (BL189448),<=>,Ribose_5-phosphate (BL195058)
PPP_v15 (BR43957),Glyceraldehyde_3-phosphate (BL190194) + Sedoheptulose_7-phosphate (BL182418),<=>,D-Xylulose_5-phosphate (BL182224) + Ribose_5-phosphate (BL195058)
PPP_v16 (BR43958),Glyceraldehyde_3-phosphate (BL190194) + Sedoheptulose_7-phosphate (BL182418),<=>,Fructose-6-phosphate (BL453) + D-Erythrose_4-phosphate (BL9651)
PPP_v17 (BS320170),D-Xylulose_5-phosphate (BL182224) + D-Erythrose_4-phosphate (BL9651),<=>,Glyceraldehyde_3-phosphate (BL190194) + Fructose-6-phosphate (BL453)
